{{Infobox settlement
| name                         = Montreal
 | 16          = [[Saint-Laurent (electoral district)|Saint-Laurent]]
 | 17          = [[Saint-Léonard—Saint-Michel]]
 | 18          = [[Ville-Marie—Le Sud-Ouest—Île-des-Sœurs]]
}}
| area_footnotes               = <ref>{{cite web |title=Census Profile, 2016 Census; Montreal, Ville [Census subdivision], Quebec and Canada [Country] |url=https://www12.statcan.gc.ca/census-recensement/2016/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=2466023&Geo2=PR&Code2=01&Data=Count&SearchText=2466023&SearchType=Begins&SearchPR=01&B1=All&Custom=&TABID=3 |website=www12.statcan.gc.ca |publisher=Statistics Canada |access-date=14 March 2020}}</ref><ref name="statcan_2016">{{cite web |title=Census Profile, 2016 Census |url=https://www12.statcan.gc.ca/census-recensement/2016/dp-pd/prof/details/page.cfm?Lang=E&Geo1=POPC&Code1=0547&Geo2=PR&Code2=24&SearchText=Montreal&SearchType=Begins&SearchPR=01&B1=All&GeoLevel=PR&GeoCode=0547&TABID=1&type=0 |website=www12.statcan.gc.ca |publisher=Statistics Canada |access-date=14 March 2020}}</ref>
| area_total_km2               = 431.50
| area_land_km2                = 365.13
| area_water_km2               =
| area_water_percent           =
| area_urban_km2               = 1,293.99
| area_metro_km2               = 4,604.26
| elevation_footnotes          = {{Citation needed|date=April 2008}}
| elevation_m                  =
| elevation_min_m              = 6
| population_total             = 1704694
| population_as_of             = 2016
| population_footnotes         = <ref name="cp2016-CD"/>
| population_density_km2       = 3,889
| population_urban             = 3,519,595
| population_urban_footnotes   = <ref name="statcan_2016"/>
| population_density_urban_km2 = 2,719
| population_metro             = 4,247,000 ([[List of the 100 largest metropolitan areas in Canada|2nd]])
| population_metro_footnotes   = <ref name="cp2016-CA"/>
| population_density_metro_km2 = 890
| population_blank1_title      = Pop&nbsp;<small>2011–2016</small>
| population_blank1            = {{increase}} 2.9%
| population_blank2_title      = Dwellings
| population_blank2            = 939112
| population_demonym           = Montrealer<br />Montréalais(e)<ref>{{cite web|last1= Poirier|first1= Jean|title= Island of Montréal|url= http://www.nrcan.gc.ca/earth-sciences/geography/place-names/education-resources/9218|website= Natural Resources Canada|access-date= July 16, 2014|url-status=dead|archive-url= https://web.archive.org/web/20140720134231/http://www.nrcan.gc.ca/earth-sciences/geography/place-names/education-resources/9218|archive-date= July 20, 2014|df= mdy-all}}</ref>
| population_note              =
| postal_code_type             = [[Canadian postal code|Postal code(s)]]
| postal_code                  = [[List of H postal codes of Canada|H]] (except H7 for [[Laval, Quebec|Laval]])
| area_code                    = [[Area codes 514 and 438|514 and 438]] and 263
| blank_name_sec2              = [[GDP]] (Montreal {{Abbr|CMA|Census metropolitan area}})
| blank_info_sec2              = [[Canadian dollar|CA$]]200.9 billion (2016)<ref>{{cite web |url=https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610046801 |title=Table 36-10-0468-01 Gross domestic product (GDP) at basic prices, by census metropolitan area (CMA) (x 1,000,000) |publisher=[[Statistics Canada]] |access-date=27 April 2021 |archive-url=https://web.archive.org/web/20210122184338/https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610046801 |archive-date=22 January 2021 |url-status=live}}</ref>
| blank1_name_sec2             = GDP per capita (Montreal {{Abbr|CMA|Census metropolitan area}})
| blank1_info_sec2             = CA$49,024 (2016)
| blank2_name                  = 
Police
| blank2_info                  = 
[[Service de police de la Ville de Montréal]]
| blank3_name                  = 
Ambulance
| blank3_info                  = 
| blank4_name                  = 
Fire
| blank4_info                  = 
| footnotes                    =
| p2                           = [[Anjou, Quebec|Anjou]]
| p3                           = [[Côte-des-Neiges–Notre-Dame-de-Grâce]]
| p4                           = [[L'Île-Bizard–Sainte-Geneviève]]
| p5                           = [[LaSalle, Quebec|LaSalle]]
| p6                           = [[Lachine, Quebec|Lachine]]
| p7                           = [[Le Plateau-Mont-Royal]]
| p8                           = [[Le Sud-Ouest]]
| p9                           = [[Mercier–Hochelaga-Maisonneuve]]
| p10                          = [[Montréal-Nord]]
| p11                          = [[Outremont, Quebec|Outremont]]
| p12                          = [[Pierrefonds-Roxboro]]
| p13                          = [[Rivière-des-Prairies–Pointe-aux-Trembles]]
| p14                          = [[Rosemont–La Petite-Patrie]]
| p15                          = [[Saint-Laurent, Quebec|Saint-Laurent]]
| p16                          = [[St. Leonard, Quebec|Saint-Léonard]]
| p17                          = [[Verdun, Quebec|Verdun]]
| p18                          = [[Ville-Marie, Montreal|Ville-Marie]]
| p19                          = [[Villeray–Saint-Michel–Parc-Extension]]
| leader_title3                = [[List of Quebec provincial electoral districts|Prov. riding]]
| leader_name3                 = {{Collapsible list
 | title       = List
 | frame_style = border:none; padding: 0;
 | list_style  = text-align:left;display:none;
 | 1           = [[Acadie (provincial electoral district)|Acadie]]
 | 2           = [[Anjou–Louis-Riel (provincial electoral district)|Anjou–Louis-Riel]]
 | 3           = [[Bourassa-Sauvé (provincial electoral district)|Bourassa-Sauvé]]
 | 4           = [[Bourget (provincial electoral district)|Bourget]]
 | 5           = [[Crémazie (provincial electoral district)|Crémazie]]
 | 6           = [[D'Arcy-McGee]]
 | 7           = [[Gouin (provincial electoral district)|Gouin]]
 | 8           = [[Hochelaga-Maisonneuve (provincial electoral district)|Hochelaga-Maisonneuve]]
 | 9           = [[Jeanne-Mance–Viger (provincial electoral district)|Jeanne-Mance–Viger]]
 | 10          = [[LaFontaine (provincial electoral district)|LaFontaine]]
 | 11          = [[Laurier-Dorion (provincial electoral district)|Laurier-Dorion]]
 | 12          = [[Marguerite-Bourgeoys (provincial electoral district)|Marguerite-Bourgeoys]]
 | 13          = [[Marquette (provincial electoral district)|Marquette]]
 | 14          = [[Mercier (provincial electoral district)|Mercier]]
 | 15          = [[Mont-Royal (provincial electoral district)|Mont-Royal]]
 | 16          = [[Nelligan (provincial electoral district)|Nelligan]]
 | 17          = [[Notre-Dame-de-Grâce (provincial electoral district)|Notre-Dame-de-Grâce]]
 | 18          = [[Outremont (provincial electoral district)|Outremont]]
 | 19          = [[Pointe-aux-Trembles (provincial electoral district)|Pointe-aux-Trembles]]
 | 20          = [[Robert-Baldwin (provincial electoral district)|Robert-Baldwin]]
 | 21          = [[Rosemont (provincial electoral district)|Rosemont]]
 | 22          = [[Saint-Henri–Sainte-Anne (provincial electoral district)|Saint-Henri–Sainte-Anne]]
 | 23          = [[Saint-Laurent (provincial electoral district)|Saint-Laurent]]
 | 24          = [[Sainte-Marie–Saint-Jacques (provincial electoral district)|Sainte-Marie–Saint-Jacques]]
 | 25          = [[Tétreaultville (provincial electoral district)|Tétreaultville]]
 | 26          = [[Verdun (provincial electoral district)|Verdun]]
 | 27          = [[Viau (provincial electoral district)|Viau]]
 | 28          = [[Westmount–Saint-Louis (provincial electoral district)|Westmount–Saint-Louis]]
}}
| leader_title4                = [[Member of Parliament (Canada)|MPs]]
| leader_name4                 = {{Collapsible list
 | title       = List of MPs
 | frame_style = border:none; padding: 0;
 | title_style =
 | list_style  = text-align:left;display:none;
 | 1           = [[Sameer Zuberi]]
 | 2           = [[Mario Beaulieu]]
 | 3           = [[Alexandre Boulerice]]
 | 4           = [[Soraya Martinez Ferrada]]
 | 5           = [[Anju Dhillon]]
 | 6           = [[Patricia Lattanzio]]
 | 7           = [[Emmanuel Dubourg]]
 | 8           = [[Marc Garneau]]
 | 9           = [[Anthony Housefather]]
 | 10          = [[Mélanie Joly]]
 | 11          = [[Emmanuella Lambropoulos]]
 | 12          = [[David Lametti]]
 | 13          = [[Steven Guilbeault]]
 | 14          = [[Marc Miller (politician)|Marc Miller]]
 | 15          = [[Pablo Rodríguez (Canadian politician)|Pablo Rodríguez]]
 | 16          = [[Francis Scarpaleggia]]
 | 17          = [[Justin Trudeau]]
 | 18          = [[Rachel Bendayan]]
}}
| area_urban_footnotes         = <ref name="cp2011-PC"/>
| area_metro_footnotes         = <ref name="cp2011-CA"/>
| elevation_max_m              = 233
| timezone                     = [[Eastern Time Zone|EST]]
| utc_offset                   = −05:00
| timezone_DST                 = EDT
| utc_offset_DST               = −04:00
| website                      = {{official URL}}
}}
